user,pct_pos,pct_neu,pct_neg,pct_na,n
michideflores,0.3333333333333333,0.6666666666666666,0.0,0.0,3
oscar46083885,0.3333333333333333,0.6666666666666666,0.0,0.0,3
pedropabloyGT,0.3333333333333333,0.6666666666666666,0.0,0.0,3
sigridcleaves,0.3333333333333333,0.6666666666666666,0.0,0.0,3
yankees20051968,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,7
angeln8,0.2653061224489796,0.5918367346938775,0.14285714285714285,0.0,49
LopezMadrrox,0.25,0.25,0.5,0.0,8
MarielizLucero,0.25,0.75,0.0,0.0,8
madridistaguate,0.25,0.375,0.375,0.0,8
91072dff5a5a4f1,0.25,0.25,0.5,0.0,4
AlberthMenendez,0.25,0.5,0.25,0.0,4
DannyAlarcon160,0.25,0.75,0.0,0.0,4
IvanHerGarcia,0.25,0.5,0.25,0.0,4
JotiaAlvarez,0.25,0.25,0.5,0.0,4
JulioRomeoDL,0.25,0.75,0.0,0.0,4
